01 Agriculture,02 Aquaculture,03 Forestry and Logging,"04 Fishing, Hunting and Trapping","05 Agriculture, Forestry and Fishing Support Services",06 Coal Mining,07 Oil and Gas Extraction,08 Metal Ore Mining,09 Non-Metallic Mineral Mining and Quarrying,10 Exploration and Other Mining Support Services,11Food Product Manufacturing, 12Beverage and Tobacco Product Manufacturing,"13Textile, Leather, Clothing and Footwear Manufacturing",14Wood Product Manufacturing,"15Pulp, Paper and Converted Paper Product Manufacturing",16Printing (including the Reproduction of Recorded Media),17Petroleum and Coal Product Manufacturing,18 Basic Chemical and Chemical Product Manufacturing,19Polymer Product and Rubber Product Manufacturing, 20Non-Metallic Mineral Product Manufacturing,21Primary Metal and Metal Product Manufacturing,22Fabricated Metal Product Manufacturing,23Transport Equipment Manufacturing,24Machinery and Equipment Manufacturing,25Furniture and Other Manufacturing,26Electricity Supply,27Gas Supply,"28Water Supply, Sewerage and Drainage Services","29Waste Collection, Treatment and Disposal Services",30 Building Construction,31 Heavy and Civil Engineering Construction,32 Construction Services,"
33 Basic Material Wholesaling",34 Machinery and Equipment Wholesaling,35 Motor Vehicle and Motor Vehicle Parts Wholesaling,"36 Grocery, Liquor and Tobacco Product Wholesaling",37 Other Goods Wholesaling,38 Commission-Based Wholesaling,39Motor Vehicle and Motor Vehicle Parts Retailing,40 Fuel Retailing,41 Food Retailing,42 Other Store-Based Retailing,43 Non-Store Retailing and Retail Commission Based Buying and/or Selling,44 Accommodation,45 Food and Beverage Services,46 Road Transport,47 Rail Transport,48 Water Transport,49 Air and Space Transport,50 Other Transport,51 Postal and Courier Pick-up and Delivery Services,52 Transport Support Services,53 Warehousing and Storage Services,54 Publishing and Broadcasting ,55 Motion Picture and Sound Recording Activities,56 Broadcasting (except Internet),58 Telecommunications Services,"59 Internet Service Providers, Web Search Portals and Data Processing Services",60 Library and Other Information Services,62 Finance,63 Insurance and Superannuation Funds,64 Auxiliary Finance and Insurance Services,66 Rental and Hiring Services (except Real Estate),67 Property Operators and Real Estate Services,"69 Professional, Scientific and Technical Services (Except Computer System)
Design and Related Services)",70 Computer System Design and Related Services,72 Administrative Services,"73 Building Cleaning, Pest Control and Other Support Services",75 Public Administration,76 Defence,"77 Public Order, Safety and Regulatory Services",80 Preschool and School Education,81 Tertiary Education,"82 Adult, Community and Other Education",84 Hospitals,85 Medical and Other Health Care Services,86 Residential Care Services,87 Social Assistance Services,89 Heritage Activities,90 Creative and Performing Arts Activities,91 Sports and Recreation Activities,92 Gambling Activities,94 Repair and Maintenance,95 Personal and other services (include activities for own use) ,,,,,
368.5,4.0,9.7,8.9,19.6,33.5,2.9,34.1,10.6,12.9,160.9,24.8,123.4,52.8,32.3,49.8,6.9,42.1,48.1,55.3,89.7,100.8,118.8,126.7,65.5,87.5,10.3,45.0,9.2,126.9,57.9,263.5,117.7,78.3,20.3,58.1,69.5,4.1,60.2,30.0,199.4,411.4,1.0,58.6,270.9,144.2,70.0,12.5,30.8,15.2,67.4,38.6,8.7,41.5,16.5,12.9,73.2,7.0,7.0,166.0,60.8,34.9,22.9,57.1,244.2,13.9,60.8,61.2,282.3,26.4,73.2,326.1,106.3,26.7,226.0,118.3,111.6,80.9,9.3,7.8,35.2,18.3,152.2,124.8,,,,,
362.5,3.7,12.8,8.3,17.5,30.4,3.4,37.3,11.1,13.1,161.1,24.3,123.0,51.6,31.4,49.6,6.6,42.4,48.0,51.3,87.8,106.2,117.8,129.0,64.6,81.5,9.2,42.4,9.2,130.2,65.8,282.0,118.1,81.2,21.1,57.0,74.3,4.0,62.8,31.4,187.2,403.1,1.0,57.8,267.1,146.8,77.1,11.0,27.9,15.8,69.8,44.4,8.4,41.3,17.1,13.3,75.6,7.2,5.6,175.5,57.6,33.0,24.7,62.4,250.5,13.9,61.5,60.2,286.8,27.1,73.1,317.9,89.5,23.9,221.7,129.1,109.6,80.6,8.6,8.1,37.1,19.4,157.7,123.2,,,,,
360.0,3.4,9.5,7.4,14.0,33.4,2.6,35.4,11.2,10.4,156.1,24.4,116.9,49.6,31.2,48.2,8.2,40.8,48.3,47.1,89.9,109.3,120.5,127.7,61.8,80.9,10.3,42.4,9.5,142.3,61.7,288.0,112.9,85.3,22.2,52.9,70.2,3.7,66.1,33.0,193.2,413.8,1.0,58.9,269.6,147.2,73.6,9.2,29.6,15.0,72.0,48.4,9.2,40.1,17.7,13.9,78.1,7.5,7.2,184.6,59.9,34.3,21.7,68.7,258.2,14.4,65.2,61.0,291.7,22.9,75.2,319.1,110.0,27.7,218.7,125.9,107.6,75.9,9.7,8.4,37.2,19.1,164.8,121.7,,,,,
373.9,2.9,7.7,6.5,22.7,37.2,2.3,37.1,13.1,12.0,158.4,21.1,120.2,46.7,31.7,45.7,6.7,43.4,56.8,44.8,79.7,103.3,113.6,123.3,61.3,81.4,10.5,46.8,9.3,140.6,53.3,282.7,115.6,85.3,22.2,54.2,74.4,4.0,66.2,33.1,196.7,400.5,1.1,55.8,263.8,159.1,74.1,5.6,33.1,14.0,73.4,49.4,8.6,38.0,18.8,14.8,79.0,7.6,7.6,187.7,64.3,30.9,24.8,69.4,258.6,14.9,62.6,62.5,290.4,24.1,74.5,335.7,103.5,26.1,223.3,131.7,108.9,72.5,9.7,8.9,36.4,17.9,163.7,119.5,,,,,
391.9,3.8,9.4,8.4,20.1,37.3,2.3,41.9,13.2,14.0,161.6,20.0,118.1,45.1,28.9,48.5,7.5,42.6,54.9,50.2,83.0,106.8,121.2,134.0,62.7,85.8,10.4,47.8,8.8,142.2,53.9,280.9,111.4,86.1,23.4,56.8,79.0,3.2,70.8,35.5,211.5,420.1,1.1,60.1,284.3,152.3,68.5,7.7,33.0,13.2,69.8,51.6,10.1,40.3,19.6,15.3,74.9,7.4,7.8,186.0,67.8,36.4,26.9,70.5,263.9,16.1,68.9,65.1,285.0,24.8,72.0,340.1,112.7,29.0,236.5,130.8,115.4,76.6,10.6,9.2,41.4,21.3,173.9,128.3,,,,,
382.9,3.7,8.8,8.4,16.7,37.0,4.1,39.7,13.7,14.7,160.7,21.4,124.2,43.8,30.7,53.3,6.4,46.0,54.3,55.2,88.6,106.9,115.1,126.4,61.4,87.8,9.5,52.7,8.7,133.7,57.8,276.9,115.7,81.4,23.2,52.2,78.6,3.1,71.8,36.2,208.9,419.1,1.1,60.5,282.0,148.1,71.6,8.3,33.6,14.0,69.8,48.4,10.8,44.5,17.1,13.3,75.0,7.4,8.3,202.0,66.3,34.3,24.3,65.1,277.1,15.6,67.1,64.4,296.2,27.9,71.3,310.9,101.5,26.4,243.5,136.1,118.7,78.5,10.6,8.1,37.5,19.7,173.4,129.6,,,,,
394.0,3.6,9.7,8.1,18.6,32.8,3.3,42.1,13.1,12.4,165.9,18.4,124.3,49.0,31.1,50.4,7.0,46.7,54.9,56.5,77.0,106.8,115.0,124.3,63.6,86.1,10.7,47.2,8.5,141.8,64.6,289.8,120.2,85.7,24.4,55.6,73.0,3.5,74.9,37.7,214.1,431.1,1.2,59.5,288.5,157.2,66.9,7.9,31.5,13.6,71.5,51.2,11.7,42.0,17.6,13.8,76.3,7.6,8.8,208.6,60.7,32.9,23.9,60.1,275.7,17.2,71.1,67.6,300.9,28.0,71.5,319.2,112.1,28.2,245.9,141.6,120.0,80.3,10.9,8.3,37.5,19.4,180.3,132.4,,,,,
372.8,3.8,8.6,8.7,20.7,32.2,1.5,37.4,11.6,12.8,154.2,19.0,130.2,49.0,28.4,52.6,6.0,45.0,52.1,52.3,75.2,101.1,118.1,119.1,67.4,84.2,9.6,43.7,9.7,138.4,61.8,298.1,125.6,83.6,23.6,46.5,77.0,3.5,72.3,36.4,212.6,417.7,1.2,59.9,291.7,171.8,73.3,6.1,35.1,14.9,74.4,49.5,11.2,44.0,17.4,13.7,79.0,7.7,8.4,202.1,65.1,39.9,22.1,63.0,270.6,16.4,68.3,64.7,284.9,30.4,77.9,338.7,114.2,29.0,225.7,155.2,110.4,76.2,10.8,8.3,38.5,20.3,174.5,127.9,,,,,
380.5,5.1,8.1,11.5,22.4,34.4,2.7,38.7,11.7,12.3,160.7,19.5,117.0,49.2,30.1,52.5,6.4,41.1,45.8,51.7,80.7,110.5,114.2,122.8,66.8,81.8,8.4,42.9,10.3,146.2,58.3,291.2,119.5,79.7,22.5,53.6,90.7,3.5,70.5,35.6,212.9,457.1,1.2,63.8,293.9,180.5,70.6,6.4,34.5,14.1,70.7,48.2,8.6,43.8,18.7,14.7,73.9,7.5,6.3,194.5,62.4,43.0,24.0,67.4,284.5,17.5,72.0,69.9,292.1,26.1,82.7,345.6,118.8,30.3,230.8,149.5,113.7,81.7,9.6,8.9,41.2,21.6,171.0,136.1,,,,,
380.0,5.9,8.0,13.1,14.7,39.0,3.3,38.2,13.0,11.8,163.0,21.0,113.9,44.6,29.5,51.9,5.8,41.3,47.5,56.4,75.2,106.4,126.7,129.2,62.0,76.8,11.7,46.1,10.1,150.3,60.1,300.1,119.1,82.3,22.4,55.3,87.6,3.6,68.2,34.2,209.8,445.2,1.2,63.6,292.7,171.8,65.8,6.6,32.6,14.4,68.2,50.7,7.3,43.3,19.7,15.5,71.3,7.3,5.9,196.1,65.4,43.6,22.1,64.9,297.2,17.7,73.2,70.2,297.9,24.1,81.9,322.8,111.2,28.9,240.6,156.5,117.4,78.9,9.4,9.4,42.4,22.0,169.6,135.9,,,,,
